"","X","V1","V2","V3","uphamName"
"1",1,"HLaciJub2","GCF_003709585.1","Acinonyx jubatus","Acinonyx_jubatus"
"2",2,"HLacoCah1","GCA_004027535.1","Acomys cahirinus","Acomys_cahirinus"
"3",3,"HLacoRus1","GCA_903995435.1","Acomys russatus","Acomys_russatus"
"4",4,"HLaeoCin1","GCA_011751065.1","Aeorestes cinereus","Aeorestes_cinereus"
"5",5,"HLaepMel1","GCA_006408695.1","Aepyceros melampus","Aepyceros_melampus"
"6",6,"HLailMel2","GCF_002007445.1","Ailuropoda melanoleuca","Ailuropoda_melanoleuca"
"7",7,"HLailFul2","DNA Zoo Consortium","Ailurus fulgens","Ailurus_fulgens"
"8",8,"HLalcAlc1","GCA_007570765.1","Alces alces","Alces_alces"
"9",9,"HLallBul1","GCA_004027895.1","Allactaga bullata","Allactaga_bullata"
"10",10,"HLallNig1","DNA Zoo Consortium","Allenopithecus nigroviridis","Allenopithecus_nigroviridis"
"11",11,"HLaloPal1","GCA_004027835.1","Alouatta palliata","Alouatta_palliata"
"12",12,"HLammLer1","GCA_002201775.1","Ammotragus lervia","Ammotragus_lervia"
"13",13,"HLanoCau1","GCA_004027475.1","Anoura caudifer","Anoura_caudifer"
"14",14,"HLantFla1","GCA_016432865.1","Antechinus flavipes","Antechinus_flavipes"
"15",15,"HLantMar1","GCA_006408585.1","Antidorcas marsupialis","Antidorcas_marsupialis"
"16",16,"HLantAme1","GCA_007570785.1","Antilocapra americana","Antilocapra_americana"
"17",17,"HLantPal1","GCA_007922775.1","Antrozous pallidus","Antrozous_pallidus"
"18",18,"aotNan1","GCF_000952055.2","Aotus nancymaae","Aotus_nancymaae"
"19",19,"HLaplRuf1","GCA_004027875.1","Aplodontia rufa","Aplodontia_rufa"
"20",20,"HLapoSyl1","GCA_001305905.1","Apodemus sylvaticus","Apodemus_sylvaticus"
"21",21,"HLarcGaz2","GCA_900642305.1","Arctocephalus gazella","Arctocephalus_gazella"
"22",22,"HLartJam1","GCA_004027435.1","Artibeus jamaicensis","Artibeus_jamaicensis"
"23",23,"HLartJam2","GCA_014825515.1","Artibeus jamaicensis","Artibeus_jamaicensis"
"24",24,"HLarvNil1","GCA_011762505.1","Arvicanthis niloticus","Arvicanthis_niloticus"
"25",25,"HLarvAmp1","GCA_903992535.1","Arvicola amphibius","Arvicola_amphibius"
"26",26,"HLateGeo1","GCA_004024785.1","Ateles geoffroyi","Ateles_geoffroyi"
"27",27,"HLaxiPor1","GCA_003798545.1","Axis porcinus","Axis_porcinus"
"28",28,"HLbalMys1","http://alfred.liv.ac.uk/downloads/bowhead_whale/bowhead_whale_scaffolds.zip","Balaena mysticetus","Balaena_mysticetus"
"29",29,"balAcu1","GCF_000493695.1","Balaenoptera acutorostrata scammoni","Balaenoptera_acutorostrata_scammoni"
"30",30,"HLbalBon1","GCA_000978805.1","Balaenoptera bonaerensis","Balaenoptera_bonaerensis"
"31",31,"HLbalEde1","DNA Zoo Consortium","Balaenoptera edeni","Balaenoptera_edeni"
"32",32,"HLbalMus1","GCA_009873245.1","Balaenoptera musculus","Balaenoptera_musculus"
"33",33,"HLbalPhy1","GCA_008795845.1","Balaenoptera physalus","Balaenoptera_physalus"
"34",34,"HLbasSum1","DNA Zoo Consortium","Bassariscus sumichrasti","Bassariscus_sumichrasti"
"35",35,"HLbeaHun1","GCA_004027495.1","Beatragus hunteri","Beatragus_hunteri"
"36",36,"bisBis1","GCF_000754665.1","Bison bison bison","Bison_bison_bison"
"37",37,"HLbosFro1","GCA_007844835.1","Bos frontalis","Bos_frontalis"
"38",38,"HLbosGau1","GCA_014182915.1","Bos gaurus","Bos_gaurus"
"39",39,"HLbosGru1","GCA_005887515.2","Bos grunniens","Bos_grunniens"
"40",40,"HLbosInd2","GCA_002933975.1","Bos indicus","Bos_indicus"
"41",41,"HLbosMut2","GCA_007646595.3","Bos mutus","Bos_mutus"
"42",42,"bosTau9","GCF_002263795.1","Bos taurus","Bos_taurus"
"43",43,"HLbubBub2","GCF_003121395.1","Bubalus bubalis","Bubalus_bubalis"
"44",44,"HLcalJac4","GCA_011100555.1","Callithrix jacchus","Callithrix_jacchus"
"45",45,"HLcalPym1","DNA Zoo Consortium","Callithrix pygmaea","Callithrix_pygmaea"
"46",46,"HLcalUrs1","GCF_003265705.1","Callorhinus ursinus","Callorhinus_ursinus"
"47",47,"HLcamBac1","GCF_000767855.1","Camelus bactrianus","Camelus_bactrianus"
"48",48,"HLcamDro2","GCF_000803125.2","Camelus dromedarius","Camelus_dromedarius"
"49",49,"HLcamFer3","GCF_009834535.1","Camelus ferus","Camelus_ferus"
"50",50,"HLcanLupDin1","GCF_003254725.1","Canis lupus dingo","Canis_lupus_dingo"
"51",51,"canFam4","GCA_011100685.1","Canis lupus familiaris","Canis_lupus_familiaris"
"52",52,"canFam5","GCA_005444595.1","Canis lupus familiaris","Canis_lupus_familiaris"
"53",53,"HLcapAeg1","GCA_000765075.1","Capra aegagrus","Capra_aegagrus"
"54",54,"HLcapHir2","GCF_001704415.1","Capra hircus","Capra_hircus"
"55",55,"HLcapIbe1","GCA_006410555.1","Capra ibex","Capra_ibex"
"56",56,"HLcapSib1","GCA_003182615.2","Capra sibirica","Capra_sibirica"
"57",57,"HLcapPyg1","GCA_012922965.1","Capreolus pygargus","Capreolus_pygargus"
"58",58,"tarSyr2","GCF_000164805.1","Carlito syrichta","Carlito_syrichta"
"59",59,"HLcarPer3","GCA_004027735.1","Carollia perspicillata","Carollia_perspicillata"
"60",60,"HLcasCan3","DNA Zoo Consortium","Castor canadensis","Castor_canadensis"
"61",61,"HLcatWag1","GCA_004024745.2","Catagonus wagneri","Catagonus_wagneri"
"62",62,"cavApe1","GCA_000688575.1","Cavia aperea","Cavia_aperea"
"63",63,"cavPor3","GCF_000151735.1","Cavia porcellus","Cavia_porcellus"
"64",64,"HLcavTsc1","GCA_004027695.1","Cavia tschudii","Cavia_tschudii"
"65",65,"HLcebAlb1","GCA_004027755.1","Cebus albifrons","Cebus_albifrons"
"66",66,"cebCap1","GCF_001604975.1","Cebus capucinus imitator","Cebus_capucinus_imitator"
"67",67,"HLcepHar1","GCA_006410635.1","Cephalophus harveyi","Cephalophus_harveyi"
"68",68,"HLcerSimCot1","GCA_004027795.1","Ceratotherium simum cottoni","Ceratotherium_simum_cottoni"
"69",69,"cerSim1","GCF_000283155.1","Ceratotherium simum simum","Ceratotherium_simum_simum"
"70",70,"cerAty1","GCF_000955945.1","Cercocebus atys","Cercocebus_atys"
"71",71,"HLcerMon1","GCA_014849445.1","Cercopithecus mona","Cercopithecus_mona"
"72",72,"HLcerNeg1","GCA_004027615.1","Cercopithecus neglectus","Cercopithecus_neglectus"
